pair,strategy,equity_value
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
